day,count,w1,w2,w3,species,replicate,jar,community_composition,prey_richness,prey_composition
12,1,0.3388,1,1,Colpidium,2,10,"Colpidium, Paramecium, Dileptus",2,"Colpidium, Paramecium"
12,100,0.3388,1,1,Paramecium,2,10,"Colpidium, Paramecium, Dileptus",2,"Colpidium, Paramecium"
12,0,0.3388,1,1,Dileptus,2,10,"Colpidium, Paramecium, Dileptus",2,"Colpidium, Paramecium"
12,NA,0.2958,1,1,Collodictyon,1,11,"Collodictyon, Paramecium, Dileptus",2,"Collodictyon, Paramecium"
12,NA,0.2958,1,1,Paramecium,1,11,"Collodictyon, Paramecium, Dileptus",2,"Collodictyon, Paramecium"
12,2,0.3577,1,1,Dileptus,1,11,"Collodictyon, Paramecium, Dileptus",2,"Collodictyon, Paramecium"
12,NA,0.2804,1,1,Collodictyon,2,12,"Collodictyon, Paramecium, Dileptus",2,"Collodictyon, Paramecium"
12,3,0.3181,1,1,Paramecium,2,12,"Collodictyon, Paramecium, Dileptus",2,"Collodictyon, Paramecium"
12,9,0.3181,1,1,Dileptus,2,12,"Collodictyon, Paramecium, Dileptus",2,"Collodictyon, Paramecium"
12,0,0.3491,1,1,Colpidium,1,13,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
12,0,0.3491,1,1,Collodictyon,1,13,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
12,0,0.3491,1,1,Paramecium,1,13,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
12,2,0.3491,1,1,Dileptus,1,13,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
12,NA,0.3083,1,1,Colpidium,2,14,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
12,NA,0.3083,1,1,Collodictyon,2,14,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
12,NA,0.3083,1,1,Paramecium,2,14,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
12,2,0.3083,1,1,Dileptus,2,14,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
14,0,0.5794,1,1,Colpidium,1,13,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
14,0,0.5794,1,1,Collodictyon,1,13,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
14,6,0.5794,1,1,Paramecium,1,13,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
14,0,0.5794,1,1,Dileptus,1,13,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
14,0,0.399,1,1,Colpidium,2,14,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
